#  HII-CHI-mistry v.5.1 output file
# Input file:SDSSJ0228_input.dat
# Iterations for MonteCarlo: 25
# Used models: Double composite AGN, a(OX) = -1.2. No interpolation
# 
# ID   O2Hb eO2Hb  Ne3Hb  eNeHb O3aHb  eO3aHb O3nHb  eO3nHb N2Hb   eN2Hb  S2Hb   eS2Hb  i O/H     eO/H  N/O    eN/O  logU   elogU
136 0.000 0.000 0.000 0.000 0.000 0.000 0.065 1.208 0.055 1.248 0.023 1.729 2 8.12 0.34 -0.69 0.38 -1.23 0.32
137 0.000 0.000 0.000 0.000 0.000 0.000 0.065 1.208 0.055 1.248 0.023 1.729 2 8.19 0.31 -0.81 0.41 -1.33 0.34
138 0.000 0.000 0.000 0.000 0.000 0.000 0.065 1.208 0.055 1.248 0.023 1.729 2 8.20 0.32 -0.81 0.45 -1.35 0.29
139 0.000 0.000 0.000 0.000 0.000 0.000 0.065 1.208 0.055 1.248 0.023 1.729 2 8.31 0.32 -1.02 0.50 -1.38 0.31
140 0.000 0.000 0.000 0.000 0.000 0.000 0.097 2.468 0.050 1.961 0.034 2.095 2 8.32 0.36 -0.88 0.46 -1.45 0.33
141 0.000 0.000 0.000 0.000 0.000 0.000 0.097 2.468 0.050 1.961 0.034 2.095 2 8.31 0.32 -0.68 0.41 -1.42 0.32
142 0.000 0.000 0.000 0.000 0.000 0.000 0.097 2.468 0.050 1.961 0.034 2.095 2 8.28 0.34 -0.74 0.44 -1.49 0.34
143 0.000 0.000 0.000 0.000 0.000 0.000 0.097 2.468 0.050 1.961 0.034 2.095 2 8.25 0.34 -0.65 0.52 -1.51 0.32
144 0.000 0.000 0.000 0.000 0.000 0.000 0.097 2.468 0.050 1.961 0.082 2.108 2 8.42 0.23 -0.72 0.55 -1.43 0.31
145 0.000 0.000 0.000 0.000 0.000 0.000 0.097 2.468 0.050 1.961 0.082 2.108 2 8.23 0.36 -0.55 0.45 -1.54 0.26
146 0.000 0.000 0.000 0.000 0.000 0.000 0.097 2.468 0.050 1.961 0.082 2.108 2 8.32 0.33 -0.69 0.48 -1.43 0.38
147 0.000 0.000 0.000 0.000 0.000 0.000 0.097 2.468 0.050 1.961 0.082 2.108 2 8.38 0.28 -0.79 0.50 -1.43 0.31
148 0.000 0.000 0.000 0.000 0.000 0.000 0.097 2.468 0.050 1.961 0.082 2.108 2 8.33 0.31 -0.79 0.49 -1.37 0.31
149 0.000 0.000 0.000 0.000 0.000 0.000 0.097 2.468 0.050 1.961 0.082 2.108 2 8.28 0.30 -0.64 0.47 -1.46 0.35
150 0.000 0.000 0.000 0.000 0.000 0.000 0.097 2.468 0.050 1.961 0.082 2.108 2 8.41 0.32 -0.92 0.49 -1.33 0.28
151 0.000 0.000 0.000 0.000 0.000 0.000 0.149 2.992 0.027 1.164 0.148 3.170 2 8.40 0.29 -0.91 0.53 -1.40 0.25
