#  HII-CHI-mistry v.5.1 output file
# Input file:SDSSJ0228_input.dat
# Iterations for MonteCarlo: 25
# Used models: Double composite AGN, a(OX) = -1.2. No interpolation
# 
# ID   O2Hb eO2Hb  Ne3Hb  eNeHb O3aHb  eO3aHb O3nHb  eO3nHb N2Hb   eN2Hb  S2Hb   eS2Hb  i O/H     eO/H  N/O    eN/O  logU   elogU
119 0.000 0.000 0.000 0.000 0.000 0.000 0.096 0.250 5.586 15.048 1.121 5.165 2 8.45 0.26 -0.58 0.50 -1.23 0.14
120 0.000 0.000 0.000 0.000 0.000 0.000 0.096 0.250 5.586 15.048 1.121 5.165 2 8.38 0.29 -0.44 0.45 -1.18 0.18
121 0.000 0.000 0.000 0.000 0.000 0.000 5.665 12.967 2.280 5.668 0.889 3.902 2 8.50 0.29 -0.52 0.33 -1.56 0.30
122 0.000 0.000 0.000 0.000 0.000 0.000 5.665 12.967 2.280 5.668 0.889 3.902 2 8.57 0.26 -0.48 0.34 -1.65 0.28
123 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 3 0.00 0.00 -10.00 0.00 0.00 0.00
124 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 3 0.00 0.00 -10.00 0.00 0.00 0.00
125 0.000 0.000 0.000 0.000 0.000 0.000 4.710 8.875 3.987 7.344 0.869 3.291 2 8.53 0.26 -0.50 0.36 -1.58 0.29
126 0.000 0.000 0.000 0.000 0.000 0.000 0.196 0.099 0.464 0.299 0.084 0.282 2 7.85 0.35 -0.54 0.41 -1.37 0.29
127 0.000 0.000 0.000 0.000 0.000 0.000 3.442 2262147.892 15.565 78.389 4.144 24.950 2 8.45 0.28 -0.43 0.31 -1.42 0.10
128 0.000 0.000 0.000 0.000 0.000 0.000 1.454 39.077 0.977 0.622 0.210 0.709 2 8.42 0.34 -0.56 0.41 -1.94 0.09
129 0.000 0.000 0.000 0.000 0.000 0.000 0.526 0.741 1.207 1.076 0.198 0.679 2 8.16 0.31 -0.38 0.32 -1.43 0.27
130 0.000 0.000 0.000 0.000 0.000 0.000 1.848 1.804 0.931 0.966 0.195 0.655 2 8.19 0.33 -0.59 0.43 -1.87 0.22
131 0.000 0.000 0.000 0.000 0.000 0.000 0.443 9.034 0.667 0.414 0.111 0.375 2 8.27 0.36 -0.51 0.31 -1.98 0.10
132 0.000 0.000 0.000 0.000 0.000 0.000 0.497 0.264 0.236 0.167 0.115 0.384 2 7.88 0.40 -0.85 0.46 -1.67 0.36
133 0.000 0.000 0.000 0.000 0.000 0.000 0.639 0.587 0.281 0.293 0.115 0.389 2 7.89 0.39 -0.72 0.41 -1.77 0.29
134 0.000 0.000 0.000 0.000 0.000 0.000 0.639 0.587 0.281 0.293 0.115 0.389 2 7.99 0.38 -0.77 0.37 -1.61 0.36
135 0.000 0.000 0.000 0.000 0.000 0.000 0.639 0.587 0.281 0.293 0.063 0.354 2 8.02 0.40 -0.87 0.52 -1.64 0.34
136 0.000 0.000 0.000 0.000 0.000 0.000 0.853 1.678 0.728 1.595 0.308 1.779 2 8.35 0.27 -0.83 0.59 -1.39 0.27
137 0.000 0.000 0.000 0.000 0.000 0.000 0.853 1.678 0.728 1.595 0.308 1.779 2 8.32 0.29 -0.70 0.48 -1.30 0.23
138 0.000 0.000 0.000 0.000 0.000 0.000 0.853 1.678 0.728 1.595 0.308 1.779 2 8.30 0.31 -0.88 0.64 -1.44 0.27
139 0.000 0.000 0.000 0.000 0.000 0.000 0.853 1.678 0.728 1.595 0.308 1.779 2 8.28 0.31 -0.69 0.48 -1.51 0.34
140 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.373 2.346 2 8.39 0.29 -0.95 0.57 -1.55 0.31
