#  HII-CHI-mistry v.5.1 output file
# Input file:SDSSJ0228_input.dat
# Iterations for MonteCarlo: 25
# Used models: Double composite AGN, a(OX) = -1.2. No interpolation
# 
# ID   O2Hb eO2Hb  Ne3Hb  eNeHb O3aHb  eO3aHb O3nHb  eO3nHb N2Hb   eN2Hb  S2Hb   eS2Hb  i O/H     eO/H  N/O    eN/O  logU   elogU
121 0.000 0.000 0.000 0.000 0.000 0.000 5.665 12.967 2.280 5.668 0.889 3.902 2 8.58 0.24 -0.63 0.53 -1.47 0.32
122 0.000 0.000 0.000 0.000 0.000 0.000 5.665 12.967 2.280 5.668 0.889 3.902 2 8.54 0.27 -0.42 0.40 -1.64 0.34
123 0.000 0.000 0.000 0.000 0.000 0.000 -1.594 9.932 -1.413 1.630 -0.365 1.260 3 8.64 0.18 -0.90 0.42 -1.86 0.25
124 0.000 0.000 0.000 0.000 0.000 0.000 -1.594 9.932 -1.413 1.630 -0.365 1.260 3 8.57 0.16 -0.98 0.32 -1.83 0.34
125 0.000 0.000 0.000 0.000 0.000 0.000 4.710 8.875 3.987 7.344 0.869 3.291 2 8.53 0.27 -0.49 0.47 -1.66 0.29
126 0.000 0.000 0.000 0.000 0.000 0.000 0.196 0.099 0.464 0.299 0.084 0.282 2 7.77 0.33 -0.45 0.42 -1.27 0.24
127 0.000 0.000 0.000 0.000 0.000 0.000 3.442 2262147.892 15.565 78.389 4.144 24.950 2 8.46 0.26 -0.52 0.48 -1.44 0.11
128 0.000 0.000 0.000 0.000 0.000 0.000 1.454 39.077 0.977 0.622 0.210 0.709 2 8.41 0.36 -0.59 0.39 -1.92 0.13
129 0.000 0.000 0.000 0.000 0.000 0.000 0.526 0.741 1.207 1.076 0.198 0.679 2 8.16 0.35 -0.53 0.51 -1.42 0.31
130 0.000 0.000 0.000 0.000 0.000 0.000 1.851 1.891 0.946 1.024 0.198 0.687 2 8.19 0.33 -0.53 0.37 -1.82 0.25
131 0.000 0.000 0.000 0.000 0.000 0.000 0.443 9.034 0.667 0.414 0.111 0.375 2 8.04 0.38 -0.38 0.25 -1.96 0.17
132 0.000 0.000 0.000 0.000 0.000 0.000 0.497 0.264 0.236 0.167 0.115 0.384 2 7.94 0.37 -0.84 0.49 -1.58 0.19
133 0.000 0.000 0.000 0.000 0.000 0.000 0.639 0.587 0.281 0.293 0.115 0.389 2 7.88 0.36 -0.72 0.52 -1.72 0.26
134 0.000 0.000 0.000 0.000 0.000 0.000 0.639 0.587 0.281 0.293 0.115 0.389 2 8.04 0.38 -0.91 0.53 -1.74 0.24
135 0.000 0.000 0.000 0.000 0.000 0.000 0.639 0.587 0.281 0.293 0.063 0.354 2 7.85 0.38 -0.59 0.38 -1.81 0.23
136 0.000 0.000 0.000 0.000 0.000 0.000 0.853 1.678 0.728 1.595 0.308 1.779 2 8.26 0.34 -0.72 0.45 -1.50 0.30
137 0.000 0.000 0.000 0.000 0.000 0.000 0.853 1.678 0.728 1.595 0.308 1.779 2 8.33 0.30 -0.69 0.50 -1.41 0.37
138 0.000 0.000 0.000 0.000 0.000 0.000 0.853 1.678 0.728 1.595 0.308 1.779 2 8.24 0.32 -0.70 0.45 -1.45 0.34
139 0.000 0.000 0.000 0.000 0.000 0.000 0.853 1.678 0.728 1.595 0.308 1.779 2 8.36 0.27 -0.80 0.48 -1.37 0.36
140 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.373 2.346 2 8.48 0.27 -0.74 0.48 -1.43 0.35
141 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.373 2.346 2 8.41 0.32 -0.80 0.40 -1.40 0.30
142 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.373 2.346 2 8.44 0.30 -0.61 0.38 -1.52 0.30
143 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.373 2.346 2 8.33 0.38 -0.63 0.44 -1.50 0.36
144 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.891 3.287 2 8.45 0.29 -0.79 0.45 -1.44 0.30
145 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.891 3.287 2 8.42 0.29 -0.75 0.49 -1.36 0.21
146 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.891 3.287 2 8.38 0.32 -0.70 0.58 -1.48 0.34
147 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.891 3.287 2 8.40 0.26 -0.78 0.47 -1.29 0.26
148 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.891 3.287 2 8.50 0.30 -0.79 0.41 -1.43 0.34
149 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.891 3.287 2 8.44 0.30 -0.79 0.55 -1.39 0.26
150 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.891 3.287 2 8.34 0.33 -0.74 0.48 -1.46 0.25
151 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.56 0.25 -1.41 0.48 -1.44 0.20
152 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.54 0.26 -1.28 0.62 -1.54 0.25
153 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.50 0.31 -1.24 0.57 -1.49 0.25
154 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.45 0.30 -1.04 0.43 -1.53 0.25
155 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.46 0.31 -1.29 0.54 -1.49 0.24
156 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.51 0.30 -1.24 0.48 -1.45 0.21
157 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.46 0.30 -1.25 0.55 -1.47 0.26
158 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.54 0.26 -1.26 0.51 -1.52 0.26
159 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.48 0.30 -1.30 0.39 -1.49 0.26
